Size,Processes,Time_Mean,Time_Std,Time_Min,Time_Max,Runs
200,1,0.000940,0.000017,0.000925,0.000959,3
200,2,0.000500,0.000007,0.000494,0.000508,3
200,4,0.000316,0.000023,0.000290,0.000331,3
200,6,0.000210,0.000014,0.000198,0.000225,3
200,8,0.000262,0.000099,0.000148,0.000322,3
200,10,0.000266,0.000008,0.000257,0.000270,3
400,1,0.008036,0.000106,0.007971,0.008158,3
400,2,0.004076,0.000025,0.004052,0.004101,3
400,4,0.002451,0.000280,0.002273,0.002773,3
400,6,0.001662,0.000224,0.001527,0.001920,3
400,8,0.001804,0.001102,0.001156,0.003077,3
400,10,0.001759,0.001362,0.000939,0.003332,3
800,1,0.063725,0.000074,0.063639,0.063768,3
800,2,0.033054,0.000295,0.032756,0.033346,3
800,4,0.025441,0.002330,0.023312,0.027930,3
800,6,0.027038,0.003299,0.023754,0.030351,3
800,8,0.019831,0.006798,0.012608,0.026105,3
800,10,0.025980,0.007334,0.021746,0.034448,3
1200,1,0.217931,0.001344,0.217062,0.219479,3
1200,2,0.136696,0.000895,0.135713,0.137464,3
1200,4,0.151079,0.001980,0.148804,0.152410,3
1200,6,0.110337,0.002659,0.107498,0.112770,3
1200,8,0.112606,0.008842,0.103547,0.121213,3
1200,10,0.118763,0.001532,0.117276,0.120336,3
1600,1,0.517426,0.006482,0.512500,0.524769,3
1600,2,0.432393,0.012813,0.419741,0.445362,3
1600,4,0.394059,0.000741,0.393204,0.394520,3
1600,6,0.297201,0.009528,0.289601,0.307890,3
1600,8,0.283067,0.004528,0.278146,0.287056,3
1600,10,0.281137,0.010726,0.272300,0.293070,3
2000,1,1.028393,0.008587,1.019000,1.035840,3
2000,2,0.874063,0.007434,0.868360,0.882471,3
2000,4,0.795180,0.004679,0.789824,0.798474,3
2000,6,0.606463,0.014037,0.594451,0.621894,3
2000,8,0.584623,0.015587,0.566630,0.593975,3
2000,10,0.556139,0.010050,0.544556,0.562544,3
