Size,Block_Size,Time_Mean,Time_Std,Time_Min,Time_Max,Runs
200,8,0.000533,0.000004,0.000528,0.000537,3
200,16,0.000592,0.000004,0.000590,0.000596,3
200,32,0.001024,0.000003,0.001021,0.001027,3
400,8,0.004041,0.000004,0.004037,0.004044,3
400,16,0.004029,0.000006,0.004023,0.004036,3
400,32,0.004510,0.000000,0.004510,0.004510,3
800,8,0.031736,0.000006,0.031731,0.031742,3
800,16,0.031760,0.000006,0.031753,0.031766,3
800,32,0.032029,0.000003,0.032027,0.032032,3
1200,8,0.107727,0.000016,0.107711,0.107743,3
1200,16,0.106738,0.000026,0.106720,0.106768,3
1200,32,0.108227,0.000047,0.108172,0.108257,3
1600,8,0.255131,0.000047,0.255096,0.255184,3
1600,16,0.252865,0.000020,0.252852,0.252888,3
1600,32,0.251407,0.000042,0.251362,0.251446,3
2000,8,0.497991,0.000040,0.497961,0.498036,3
2000,16,0.496266,0.000156,0.496171,0.496446,3
2000,32,0.493811,0.000020,0.493791,0.493831,3
